origin,target,horizon,pred,actual,variant
2025-04-02,2025-04-09,7,7159.108792712302,6391.0,informed
2025-04-09,2025-04-10,1,6747.654246956841,6538.0,informed
2025-04-09,2025-04-11,2,6916.911136680538,7218.0,informed
2025-04-09,2025-04-12,3,7305.235931037437,7765.0,informed
2025-04-09,2025-04-13,4,6746.287339589916,7177.0,informed
2025-04-09,2025-04-14,5,6647.220390697426,6528.0,informed
2025-04-09,2025-04-15,6,6774.066236656684,6804.0,informed
2025-04-09,2025-04-16,7,6840.935508327024,7242.0,informed
2025-04-30,2025-05-01,1,6494.268471524064,8349.0,informed
2025-04-30,2025-05-02,2,7350.363180666611,8293.0,informed
2025-04-30,2025-05-03,3,7820.917340735252,8042.0,informed
2025-04-30,2025-05-04,4,7321.000992292412,7302.0,informed
2025-04-30,2025-05-05,5,6752.93991681353,6521.0,informed
2025-04-30,2025-05-06,6,6624.658585292017,5434.0,informed
2025-04-30,2025-05-07,7,6795.428566768071,5558.0,informed
2025-05-07,2025-05-08,1,6340.628046661585,5714.0,informed
