origin,target,horizon,pred,actual,variant
2019-01-23,2019-01-25,2,4640.080279768684,4915.0,off
2019-01-23,2019-01-26,3,4815.2162673265975,5510.0,off
2019-01-23,2019-01-27,4,4603.767104216559,4988.0,off
2019-01-23,2019-01-28,5,4492.380264572716,4444.0,off
2019-01-23,2019-01-29,6,4155.685227694821,4558.0,off
2019-01-23,2019-01-30,7,4096.508469326945,4647.0,off
2019-01-30,2019-01-31,1,4238.523193712872,4539.0,off
2019-01-30,2019-02-01,2,4053.1267892454166,4337.0,off
2019-01-30,2019-02-02,3,4000.0134776161467,3683.0,off
2019-01-30,2019-02-03,4,2921.713852098413,2880.0,off
2019-01-30,2019-02-04,5,2219.700318636139,2457.0,off
2019-01-30,2019-02-05,6,2895.830380542461,3632.0,off
2019-01-30,2019-02-06,7,3386.797346630391,4483.0,off
2019-02-06,2019-02-07,1,4711.542060283941,4998.0,off
2019-02-06,2019-02-08,2,5372.103496638178,5993.0,off
2019-02-06,2019-02-09,3,5791.661098446337,6110.0,off
2019-02-06,2019-02-10,4,5365.627633997163,5493.0,off
2019-02-06,2019-02-11,5,4473.4920821729065,5701.0,off
2019-02-06,2019-02-12,6,4281.362813431327,5668.0,off
2019-02-06,2019-02-13,7,4275.0191621824915,5537.0,off
2019-02-13,2019-02-14,1,4208.205585135491,5222.0,off
2019-02-13,2019-02-15,2,4823.269028000227,5358.0,off
2019-02-13,2019-02-16,3,5276.356070421834,5867.0,off
2019-02-13,2019-02-17,4,4792.748739561124,5726.0,off
2019-02-13,2019-02-18,5,4523.093705680264,5033.0,off
2019-02-13,2019-02-19,6,4230.187425647018,4811.0,off
2019-02-13,2019-02-20,7,4707.590671370248,4795.0,off
2019-02-20,2019-02-21,1,4787.393913687082,5021.0,off
2019-02-20,2019-02-22,2,4958.769092668363,5730.0,off
2019-02-20,2019-02-23,3,5032.740751243624,5844.0,off
2019-02-20,2019-02-24,4,4810.32760139626,5285.0,off
2019-02-20,2019-02-25,5,4622.865362418704,4747.0,off
2019-02-20,2019-02-26,6,4466.278659248511,5199.0,off
2019-02-20,2019-02-27,7,4764.640978575784,5540.0,off
2019-02-27,2019-02-28,1,5100.924322257233,5338.0,off
2019-02-27,2019-03-01,2,5038.813212535102,5542.0,off
2019-02-27,2019-03-02,3,5265.007785385201,6047.0,off
2019-02-27,2019-03-03,4,4987.280069677084,5692.0,off
2019-02-27,2019-03-04,5,4690.665670015491,5337.0,off
2019-02-27,2019-03-05,6,4905.406188419986,5097.0,off
2019-02-27,2019-03-06,7,5090.860975186097,5380.0,off
2019-03-27,2019-03-28,1,5117.705393808883,5492.0,off
2019-03-27,2019-03-29,2,5429.306991838581,5223.0,off
2019-03-27,2019-03-30,3,5515.782214568554,6480.0,off
2019-03-27,2019-03-31,4,5276.218865310843,5445.0,off
2019-03-27,2019-04-01,5,5144.551634847115,4692.0,off
2019-03-27,2019-04-02,6,5225.457868449277,4895.0,off
2019-03-27,2019-04-03,7,5214.414470033664,4771.0,off
2019-04-03,2019-04-04,1,5010.866214906061,4949.0,off
2019-04-03,2019-04-05,2,5545.795070682803,5809.0,off
2019-04-03,2019-04-06,3,5799.801028146485,6036.0,off
2019-04-03,2019-04-07,4,5236.217288111205,5404.0,off
2019-04-03,2019-04-08,5,4598.4767296554455,4647.0,off
2019-04-03,2019-04-09,6,4833.654450333031,4956.0,off
2019-04-03,2019-04-10,7,4953.302921190357,5332.0,off
2019-04-10,2019-04-11,1,5294.169934902108,5285.0,off
2019-04-10,2019-04-12,2,5541.955252754882,5382.0,off
2019-04-10,2019-04-13,3,6097.959309877768,6572.0,off
2019-04-10,2019-04-14,4,5475.568880856012,5449.0,off
2019-04-10,2019-04-15,5,4794.251497316398,5042.0,off
2019-04-10,2019-04-16,6,5012.28997496396,5320.0,off
2019-04-10,2019-04-17,7,5147.496866394333,5213.0,off
2019-05-01,2019-05-02,1,5770.491592218819,7218.0,off
2019-05-01,2019-05-03,2,6094.859864162517,6783.0,off
2019-05-01,2019-05-04,3,6020.490479772361,5607.0,off
2019-05-01,2019-05-05,4,5534.055060697832,4868.0,off
2019-05-01,2019-05-06,5,4948.4872888120935,5135.0,off
2019-05-01,2019-05-07,6,5249.772629534472,5562.0,off
2019-05-01,2019-05-08,7,5403.165979659224,5770.0,off
2019-05-08,2019-05-09,1,5371.346178133524,5821.0,off
2019-05-08,2019-05-10,2,5316.538188615839,5872.0,off
2019-05-08,2019-05-11,3,5857.210392553308,6201.0,off
2019-05-08,2019-05-12,4,5619.840173642049,5431.0,off
2019-05-08,2019-05-13,5,5147.897352128569,5040.0,off
2019-05-08,2019-05-14,6,5228.164121860387,5010.0,off
2019-05-08,2019-05-15,7,5321.754769034105,5368.0,off
2019-06-12,2019-06-13,1,5769.317495785532,6378.0,off
2019-06-12,2019-06-14,2,5891.0775365792015,6418.0,off
2019-06-12,2019-06-15,3,6762.762107850526,6702.0,off
2019-06-12,2019-06-16,4,6467.558496001628,6368.0,off
2019-06-12,2019-06-17,5,5904.405023583434,5737.0,off
2019-06-12,2019-06-18,6,5835.498369850871,6390.0,off
2019-06-12,2019-06-19,7,5912.988777964583,6015.0,off
2019-06-15,2019-06-16,1,6267.959233359448,6368.0,off
2019-06-15,2019-06-17,2,6008.194791324035,5737.0,off
2019-06-15,2019-06-18,3,5989.657566418745,6390.0,off
2019-06-15,2019-06-19,4,5903.496053939023,6015.0,off
2019-06-15,2019-06-20,5,5951.486540068152,6220.0,off
2019-06-15,2019-06-21,6,6091.532190759207,6774.0,off
