target_date,horizon,y,lag_365,is_hol,lgbm_l2,lgbm_q,xgb,cat,lgbm_bag,v3_2stage,dow,ridge,enet,xtrees,rf
2025-10-07,19,6786.0,5565.0,1,7105.07293351165,7117.288865468893,6931.099,7261.806184173363,7012.199273710382,7164.327957481933,1,4200.558379279335,5267.177010649878,5443.146511432448,6828.12633063284
2025-10-08,19,6012.0,5113.0,0,6974.762450244639,7012.347878655852,7048.0303,7307.08553793773,7183.637984657346,6974.762450244639,2,6603.611813944878,7267.593786941638,7164.637779743002,7262.684348349723
2025-10-09,19,6156.0,5458.0,0,6819.998809003414,6884.498511766256,6974.268,6989.6277471172025,6914.936795510276,6819.998809003414,3,6894.082734155972,6927.482116896041,6814.921564240113,6959.2422002901685
2025-10-10,19,6655.0,5671.0,0,7068.757060271843,7138.688277816104,7168.5117,7017.194248063052,7032.637233073144,7068.757060271843,4,6913.060872923506,7161.424034947249,7049.44407992121,7020.718928850821
2025-10-11,19,7427.0,6528.0,0,7079.632801484408,7462.960326319119,7534.951,7242.715112638342,7287.404614011205,7079.632801484408,5,7139.307307146025,7247.87381371235,7377.728788396159,7260.21893872065
2025-10-12,19,7363.0,7325.0,0,7029.253628270495,7099.222790666806,7124.3413,7160.055549597289,7067.315488684614,7029.253628270495,6,6932.631596216917,6992.495555948459,7110.395965931419,6985.821382178964
2025-10-13,19,7299.0,6537.0,0,6574.048756639231,6530.111067437092,6571.8047,6390.009577631868,6634.417166851526,6574.048756639231,0,7826.752154883132,6964.633940914053,6698.186467925054,6385.676031977074
2025-10-14,19,7279.0,6507.0,0,6575.092826031922,6287.940315143756,6668.205,6272.234790717201,6666.057964012661,6575.092826031922,1,7553.8001001833845,6778.569693723248,6564.5295265153845,6294.155838521648
2025-10-15,19,7258.0,6750.0,0,6791.846712271674,6389.25691211116,6672.6274,6471.771168678311,6911.93448493689,6791.846712271674,2,6880.6942327260385,7154.581482580399,6776.675727891443,6670.311485613969
2025-10-16,19,7640.0,6822.0,0,6924.50478968743,6886.329843171901,6812.35,6770.235686768168,7004.564836316644,6924.50478968743,3,7683.165390575579,7770.083978609549,6888.952352229056,6819.508765837376
2025-10-17,19,7867.0,6926.0,0,7411.63755237476,7302.864613120798,7267.143,7192.93435730512,7381.299455641919,7411.63755237476,4,6947.3320615672055,7840.832624764963,7151.536683131323,7181.243973380509
2025-10-18,19,8454.0,7265.0,0,7970.425499460661,7860.621974234536,7829.4814,7601.845745373305,7954.228242327924,7970.425499460661,5,7484.3680650389715,8290.508662370954,7903.306907195696,7800.885254027547
2025-10-19,19,7329.0,7391.0,0,7416.491468877243,7185.232161413412,7132.726,7079.875892060604,7365.563700909213,7416.491468877243,6,7077.663937655088,7778.695918433914,7328.687698468426,7202.187831567392
2025-10-20,19,6662.0,7127.0,0,6793.074136050917,6877.438482124746,6762.9233,6757.606730663859,6901.670730331839,6793.074136050917,0,6550.000958212336,7372.921903571362,6816.762875253599,6732.517326715217
2025-10-21,19,7106.0,6594.0,0,6454.529259827673,6872.703084156734,6935.523,6737.068592508621,6656.615238068476,6454.529259827673,1,5984.642955889561,7201.226686715613,6820.680921543255,6715.45251837876
2025-10-22,19,7095.0,6428.0,0,6881.696105698506,6882.799800475439,7037.0044,6853.949364397675,6931.395736902236,6881.696105698506,2,5955.450528994649,7390.257810559958,6869.80527546703,6839.483348615588
2025-10-23,19,6697.0,6551.0,0,6885.351954159318,6776.593745308031,7052.032,6858.475475437251,6958.36530461433,6885.351954159318,3,6184.069067193528,7739.798446241252,6856.958600938791,6514.804844547997
